yolo detect predict model=model.pt source=./test_videos/gun3.mp4
Ultralytics 8.3.43 🚀 Python-3.10.12 torch-2.5.1+cu124 CUDA:0 (NVIDIA GeForce RTX 2080 SUPER, 7967MiB)
YOLO11s summary (fused): 238 layers, 9,413,187 parameters, 0 gradients, 21.3 GFLOPs

video 1/1 (frame 1/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 42.4ms
video 1/1 (frame 2/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.8ms
video 1/1 (frame 3/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.8ms
video 1/1 (frame 4/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.7ms
video 1/1 (frame 5/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 6/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.8ms
video 1/1 (frame 7/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 8/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 9/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 6.1ms
video 1/1 (frame 10/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 11/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 12/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 13/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.7ms
video 1/1 (frame 14/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 15/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.4ms
video 1/1 (frame 16/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 17/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 18/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 19/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 20/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.3ms
video 1/1 (frame 21/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.3ms
video 1/1 (frame 22/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.4ms
video 1/1 (frame 23/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 6.0ms
video 1/1 (frame 24/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 25/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.4ms
video 1/1 (frame 26/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 27/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.4ms
video 1/1 (frame 28/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 29/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 30/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 31/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 32/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 33/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 8.2ms
video 1/1 (frame 34/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 35/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 36/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 37/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 38/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 39/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.8ms
video 1/1 (frame 40/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.7ms
video 1/1 (frame 41/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 42/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.4ms
video 1/1 (frame 43/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 44/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 45/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 46/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 47/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
